Compound_ID,SourceTable,SMILES,suggested_smiles,suggested_valid,status
2-10,Table2,O(C)C=1C(=O)NC[C@@]23[C@@H]([C@@H](N(C)CC2)[C@H]([N+H3])c2c3c3OCOc3cc2)C=1,O(C)C=1C(=O)NC[C@@]23[C@@H]([C@@H](N(C)CC2)[C@H]([NH3+])c2c3c3OCOc3cc2)C=1,True,auto-fixed
2-11,Table2,O(C)[C@H]1[C@H]([N+H3])C[C@@]23[C@@H]([C@@H]([N+H2]CC2)Cc2c3c(O)c(OC)cc2)C1,O(C)[C@H]1[C@H]([NH3+])C[C@@]23[C@@H]([C@@H]([NH2+]CC2)Cc2c3c(O)c(OC)cc2)C1,True,auto-fixed
2-12,Table2,O(C)c1cc2c([C@H](N)[C@H]3[N+@@H]4C[C@H](C=C)[C@H](C3)CC4)ccnc2cc1,O(C)c1cc2c([C@H](N)[C@H]3[N@@H+]4C[C@H](C=C)[C@H](C3)CC4)ccnc2cc1,True,auto-fixed
2-13,Table2,[N+H3][C@@H]1[C@H]2OC[C@H]([N+H3])[C@H]2OC1,[NH3+][C@@H]1[C@H]2OC[C@H]([NH3+])[C@H]2OC1,True,auto-fixed
2-14,Table2,O[C@H]1[C@H]2OC[C@H]([N+H3])[C@H]2OC1,O[C@H]1[C@H]2OC[C@H]([NH3+])[C@H]2OC1,True,auto-fixed
2-15,Table2,O(C)c1c(O)c2c(cc1)C=C[C@]1(CC[N+H2]C)C2=CC(=O)C(OC)=C1,O(C)c1c(O)c2c(cc1)C=C[C@]1(CC[NH2+]C)C2=CC(=O)C(OC)=C1,True,auto-fixed
2-16,Table2,OCC[N+H2][C@H]1c2c(C)cccc2[C@@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,OCC[NH2+][C@H]1c2c(C)cccc2[C@@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,True,auto-fixed
2-17,Table2,Oc1c(O)cccc1C[N+H2][C@H]1c2c(C)cccc2[C@@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,Oc1c(O)cccc1C[NH2+][C@H]1c2c(C)cccc2[C@@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,True,auto-fixed
2-18,Table2,O(C)c1cc2c([C@@H]3SC(=O)N4[C@H]3C[C@@H]([C@@H](C=C)C[N+H2]C)CC4)ccnc2cc1,O(C)c1cc2c([C@@H]3SC(=O)N4[C@H]3C[C@@H]([C@@H](C=C)C[NH2+]C)CC4)ccnc2cc1,True,auto-fixed
2-19,Table2,O=C(CC[C@H]1[C@@H](C=C)C[N+H2]CC1)c1c2c(ncc1)ccc(OC)c2,O=C(CC[C@H]1[C@@H](C=C)C[NH2+]CC1)c1c2c(ncc1)ccc(OC)c2,True,auto-fixed
2-20,Table2,Brc1ccc(S(=O)(=O)O[C@H]2[C@H]3OC[C@H]([N+H2]C)[C@H]3OC2)cc1,Brc1ccc(S(=O)(=O)O[C@H]2[C@H]3OC[C@H]([NH2+]C)[C@H]3OC2)cc1,True,auto-fixed
2-21,Table2,O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)[C@H]3O[C@@]23[C@H]2[C@@]31CC(=O)[C@](C[N+H2]C(C)(C)C)(C3)CC2,O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)[C@H]3O[C@@]23[C@H]2[C@@]31CC(=O)[C@](C[NH2+]C(C)(C)C)(C3)CC2,True,auto-fixed
2-23,Table2,O=C1[C@]2(CO)C[C@]3([C@@H]([N+H2]CCO)c4c(C)cccc4[C@H]3CC2)C1,O=C1[C@]2(CO)C[C@]3([C@@H]([NH2+]CCO)c4c(C)cccc4[C@H]3CC2)C1,True,auto-fixed
2-24,Table2,O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)[C@H]3O[C@@]23[C@H]2[C@@]31CC(=O)[C@](C[N+H2]C1CC1)(C3)CC2,O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)[C@H]3O[C@@]23[C@H]2[C@@]31CC(=O)[C@](C[NH2+]C1CC1)(C3)CC2,True,auto-fixed
2-25,Table2,O=C1[C@]2(C)C[C@]3([C@@H]([N+H2]CCO)c4c(C)cccc4[C@H]3CC2)C1,O=C1[C@]2(C)C[C@]3([C@@H]([NH2+]CCO)c4c(C)cccc4[C@H]3CC2)C1,True,auto-fixed
2-26,Table2,O=C(NC1CCC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@@]31CC(=O)[C@](C[N+H2]Cc1occc1)(C3)CC2,O=C(NC1CCC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@@]31CC(=O)[C@](C[NH2+]Cc1occc1)(C3)CC2,True,auto-fixed
2-30,Table2,O(C)c1cc2c([C@@H](O)[C@H]3[N+@@H]4C[C@H](C=C)[C@H](C3)CC4)ccnc2cc1,O(C)c1cc2c([C@@H](O)[C@H]3[N@@H+]4C[C@H](C=C)[C@H](C3)CC4)ccnc2cc1,True,auto-fixed
2-31,Table2,O(C)c1cc2c([C@H](O)[C@H]3[N+@@H]4C[C@H](C=C)[C@H](C3)CC4)ccnc2cc1,O(C)c1cc2c([C@H](O)[C@H]3[N@@H+]4C[C@H](C=C)[C@H](C3)CC4)ccnc2cc1,True,auto-fixed
2-34,Table2,O(C)c1c2O[C@H]3[C@@]45[C@@H]([C@@H]([N+@@H](C)CC4)Cc(c25)cc1)CCOC(=O)NC3,O(C)c1c2O[C@H]3[C@@]45[C@@H]([C@@H]([N@@H+](C)CC4)Cc(c25)cc1)CCOC(=O)NC3,True,auto-fixed
2-36,Table2,O(C)C=1C(=O)C[C@@]2(CC[N+H](C)C)c3c4OCOc4ccc3C(=O)C=C2C=1,O(C)C=1C(=O)C[C@@]2(CC[NH+](C)C)c3c4OCOc4ccc3C(=O)C=C2C=1,True,auto-fixed
2-39,Table2,O=C(NCCC[N+H](C)C)CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21,O=C(NCCC[NH+](C)C)CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21,True,auto-fixed
2-41,Table2,O(C)c1c(O)c2[C@@]3(CC[N+H](C)C)C(=Cc4nc5c(nc4C3)cccc5)C=Cc2cc1,O(C)c1c(O)c2[C@@]3(CC[NH+](C)C)C(=Cc4nc5c(nc4C3)cccc5)C=Cc2cc1,True,auto-fixed
2-55,Table2,O=C([O-])[C@H]([N+H2]C[C@]12C(=O)C[C@@]3([C@@H](C(=O)[O-])c4c(C)cccc4[C@H]3CC1)C2)CC(=O)[O-],O=C([O-])[C@H]([NH2+]C[C@]12C(=O)C[C@@]3([C@@H](C(=O)[O-])c4c(C)cccc4[C@H]3CC1)C2)CC(=O)[O-],True,auto-fixed
98,Table2,O=C([O-])[C@]1(C)[C@@H](O)[C@H](O)C=C2[C@@H]1[C@H]([N+H3])[C@@]13[C@H]2CC[C@@](O)(C(=C)C1)C3,O=C([O-])[C@]1(C)[C@@H](O)[C@H](O)C=C2[C@@H]1[C@H]([NH3+])[C@@]13[C@H]2CC[C@@](O)(C(=C)C1)C3,True,auto-fixed
3-9,Table3,O[C@@]12C(=C)C[C@]3([C@@H](C[N+H2]C)c4c(C)cccc4[C@H]3CC1)C2,O[C@@]12C(=C)C[C@]3([C@@H](C[NH2+]C)c4c(C)cccc4[C@H]3CC1)C2,True,auto-fixed
3-10,Table3,O[C@@]12C(=C)C[C@]3([C@@H]([C+H][N+H](C)C)c4c(C)cccc4[C@H]3CC1)C2,O[C@@]12C(=C)C[C@]3([C@@H]([C+H][NH+](C)C)c4c(C)cccc4[C@H]3CC1)C2,False,manual-review
3-17,Table3,O[C@@]12C(=C)C[C@]3([C@@H]([N+H2]C)c4c(C)cccc4[C@H]3CC1)C2,O[C@@]12C(=C)C[C@]3([C@@H]([NH2+]C)c4c(C)cccc4[C@H]3CC1)C2,True,auto-fixed
3-24,Table3,O(C)c1cc2c([C@@H]3SC(=O)N4[C@H]3C[C@@H]([C@@H](C=C)C[N+H](C)C)CC4)ccnc2cc1,O(C)c1cc2c([C@@H]3SC(=O)N4[C@H]3C[C@@H]([C@@H](C=C)C[NH+](C)C)CC4)ccnc2cc1,True,auto-fixed
3-33,Table3,O(C)c1c(O)c2c(cc1)C=C[C@]1(CC[N+H](C)C)C2=CC(=O)C(OC)=C1,O(C)c1c(O)c2c(cc1)C=C[C@]1(CC[NH+](C)C)C2=CC(=O)C(OC)=C1,True,auto-fixed
3-34,Table3,S(=O)(=O)(O[C@H]1[C@H]2OC[C@H]([N+H3])[C@H]2OC1)c1ccc(C)cc1,S(=O)(=O)(O[C@H]1[C@H]2OC[C@H]([NH3+])[C@H]2OC1)c1ccc(C)cc1,True,auto-fixed
3-38,Table3,S(=O)(=O)(O[C@H]1[C@H]2OC[C@H]([N+H3])[C@H]2OC1)c1ccccc1,S(=O)(=O)(O[C@H]1[C@H]2OC[C@H]([NH3+])[C@H]2OC1)c1ccccc1,True,auto-fixed
3-39,Table3,S(=O)(=O)(O[C@H]1[C@H]2OC[C@H]([N+H2]C)[C@H]2OC1)c1ccccc1,S(=O)(=O)(O[C@H]1[C@H]2OC[C@H]([NH2+]C)[C@H]2OC1)c1ccccc1,True,auto-fixed
3-42,Table3,O(Cc1ccccc1)[C@H]1[C@H]2OC[C@H]([N+H3])[C@H]2OC1,O(Cc1ccccc1)[C@H]1[C@H]2OC[C@H]([NH3+])[C@H]2OC1,True,auto-fixed
3-45,Table3,O=C1[C@]2(CO)C[C@]3([C@@H]([N+H3])c4c(C)cccc4[C@H]3CC2)C1,O=C1[C@]2(CO)C[C@]3([C@@H]([NH3+])c4c(C)cccc4[C@H]3CC2)C1,True,auto-fixed
3-46,Table3,O=C1[C@]2(CO)C[C@]3([C@@H]([N+H2]C)c4c(C)cccc4[C@H]3CC2)C1,O=C1[C@]2(CO)C[C@]3([C@@H]([NH2+]C)c4c(C)cccc4[C@H]3CC2)C1,True,auto-fixed
3-50,Table3,O=C1[C@]2(C)C[C@]3([C@@H]([N+H3])c4c(C)cccc4[C@H]3CC2)C1,O=C1[C@]2(C)C[C@]3([C@@H]([NH3+])c4c(C)cccc4[C@H]3CC2)C1,True,auto-fixed
3-54,Table3,O=C([O-])[C@]12C(=O)C[C@@]3([C@@H]([N+H3])c4c(C)cccc4[C@H]3CC1)C2,O=C([O-])[C@]12C(=O)C[C@@]3([C@@H]([NH3+])c4c(C)cccc4[C@H]3CC1)C2,True,auto-fixed
