smiles,name,table,page,row,Accum,Accum_SE,Accum_class,Molecular_weight,clogD7.4,RB,glob,PBF,pmi1_MW,fgroup,Unnamed: 15,Unnamed: 16
O=C(OC)CNC(=O)CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21,2-70,2.0,10.0,7.0,85.0,20.0,Low,391.468,1.46,6.0,0.2,1.12,4.91,Neutral,,
O=C(NCCO)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,2-71,2.0,11.0,1.0,83.0,5.0,Low,389.452,-1.04,3.0,0.21,1.0,5.79,Neutral,,
O=C(NCCO)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)C=C[C@@]2(OC3=O)[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,2-72,2.0,11.0,2.0,80.0,3.0,Low,389.452,-2.21,3.0,0.22,1.08,5.68,Neutral,,
O=C1NCC[C@]2(C)[C@H]3C(=O)C=C(C)[C@@H](CCC#N)[C@@H]3CCC2=C1,2-73,2.0,11.0,3.0,80.0,3.0,Low,312.415,1.79,2.0,0.16,0.96,3.56,Neutral,,
Clc1cc(CNC(=O)[C@H]2[C@@H]3[C@@]4(C)[C@@H](O)[C@H](OC4=O)C=C3[C@H]3[C@]42CC(=C)[C@@](O)(C4)CC3)ccc1,2-74,2.0,11.0,4.0,75.0,0.0,Low,469.97,1.98,3.0,0.18,1.07,5.56,Neutral,,
O=C(N1CCC(O)CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,2-75,2.0,11.0,5.0,69.0,3.0,Low,429.518,-0.81,1.0,0.19,1.05,6.11,Neutral,,
O[C@@]12C(=C)C[C@]3([C@@H](CC#N)c4c(C)cccc4[C@H]3CC1)C2,2-76,2.0,11.0,6.0,65.0,13.0,Low,279.385,2.87,1.0,0.19,0.91,3.48,Neutral,,
O=C1NCC[C@]2(C)[C@H]3[C@H](O)C=C(C)[C@@H](CCC#N)[C@@H]3CCC2=C1,2-77,2.0,11.0,7.0,61.0,3.0,Low,314.431,1.21,2.0,0.17,0.99,3.59,Neutral,,
O=C1[C@@H]2[C@]3(C)C(=CNC(=O)CC3)CC[C@H]2[C@H](CCC#N)C(C)=C1,2-78,2.0,12.0,1.0,59.0,11.0,Low,312.415,1.81,2.0,0.16,0.96,3.37,Neutral,,
O=C(NCCc1cc2OCOc2cc1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,2-79,2.0,12.0,2.0,55.0,7.0,Low,493.562,1.29,4.0,0.24,1.23,5.83,Neutral,,
O=C(OC)[C@H]1[C@@H]2[C@@](C(=O)OC)(C)[C@@H](O)C=CC2=C2[C@]31CC(=C)[C@@](O)(C3)CC2,2-80,2.0,12.0,3.0,53.0,10.0,Low,374.438,-2.3,4.0,0.29,1.21,5.07,Neutral,,
O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)[C@H]3O[C@@]23[C@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2,2-81,2.0,12.0,4.0,53.0,5.0,Low,417.463,-0.87,3.0,0.23,1.05,6.13,Neutral,,
O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)[C@H]3O[C@@]23[C@H]2[C@@]31CC(=O)[C@](C=O)(C3)CC2,2-82,2.0,12.0,5.0,52.0,3.0,Low,415.447,-0.15,3.0,0.26,1.08,5.9,Neutral,,
O=C(NCC1CCCCC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)[C@H]3O[C@@]23[C@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2,2-83,2.0,12.0,6.0,50.0,26.0,Low,473.571,0.83,4.0,0.17,1.1,6.42,Neutral,,
O=C(OCC)CCNC(=O)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,2-84,2.0,12.0,7.0,48.0,3.0,Low,445.517,-0.13,6.0,0.21,1.16,5.73,Neutral,,
O=C(OCC=C)N[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)C=C[C@@]2(OC3=O)[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,2-85,2.0,13.0,1.0,46.0,2.0,Low,401.464,1.0,4.0,0.21,1.09,6.11,Neutral,,
O=C(OCC)CCNC(=O)CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21,2-86,2.0,13.0,2.0,46.0,6.0,Low,419.523,2.05,8.0,0.19,1.17,5.29,Neutral,,
O=C1[C@@H]2[C@]3(C)[C@]4(O[C@H]4C[C@H]2[C@H]2[C@@](C)(C4(OCCO4)CC2)C1)CC1(OCCO1)CC3,2-87,2.0,13.0,3.0,44.0,10.0,Low,404.508,2.74,0.0,0.11,0.99,2.59,Neutral,,
O=C1[C@@H]2[C@]3(C)C(=CC[C@H]2[C@H]2[C@@](C)(C4(OCCO4)CC2)C1)CC1(OCCO1)CC3,2-88,2.0,13.0,4.0,40.0,4.0,Low,388.508,3.04,0.0,0.12,1.05,2.63,Neutral,,
O[C@@H]1[C@@H]2[C@]3(C)C(=CC[C@H]2[C@H]2[C@@](C)(C4(OCCO4)CC2)C1)CC1(OCCO1)CC3,2-89,2.0,13.0,5.0,40.0,6.0,Low,390.524,2.65,0.0,0.14,1.12,2.79,Neutral,,
O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,2-90,2.0,13.0,6.0,33.0,2.0,Low,385.464,0.12,2.0,0.22,0.99,6.2,Neutral,,
