SMILES,Accum,Accum_Class,Accum_SE,Compound_ID,SourceTable,MolWt,LogP,TPSA,HBD,HBA,RotB,RingCount,HeavyAtomCount,FracCSP3
O=C1[C@@H]2[C@]3(C)[C@]4(O[C@H]4C[C@H]2[C@H]2[C@@](C)(C4(OCCO4)CC2)C1)CC1(OCCO1)CC3,44.0,Low,10.0,2-87,Table2,0.8046235460494324,0.7916747585101521,-0.5129705595927052,-1.100676534208084,0.6201423106525156,-1.6309502040385133,2.427959774757781,0.8641697302738143,2.1479146180670976
O=C1[C@@H]2[C@]3(C)C(=CC[C@H]2[C@H]2[C@@](C)(C4(OCCO4)CC2)C1)CC1(OCCO1)CC3,40.0,Low,4.0,2-88,Table2,0.5930229114394651,1.311925399523551,-0.8934980747258704,-1.100676534208084,0.14947019795214478,-1.6309502040385133,1.6450882133979736,0.6760857301553959,1.5863107340600624
O[C@@H]1[C@@H]2[C@]3(C)C(=CC[C@H]2[C@H]2[C@@](C)(C4(OCCO4)CC2)C1)CC1(OCCO1)CC3,40.0,Low,6.0,2-89,Table2,0.6196862578594716,1.1746077227246288,-0.7975310397840666,-0.26529126721938434,0.14947019795214478,-1.6309502040385133,1.6450882133979736,0.6760857301553959,1.8671126760635803
O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,33.0,Low,2.0,2-90,Table2,0.5527633744838587,-0.2665683367053626,0.37806513825302995,1.405479266758015,0.14947019795214478,-0.5108544722626435,1.6450882133979736,0.6760857301553959,0.6673225602303695
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](OS(=O)(=O)C)[C@H]2OC1)C,31.0,Low,3.0,2-91,Table2,-0.5467557928181596,-2.078673605701698,0.6617145389987413,-1.100676534208084,1.5614865360532573,0.6092412595132265,-1.4863980320412558,-1.2047542710287888,2.428716560070615
O=C(OC)[C@H]1[C@@H]2[C@@](C(=O)OC)(C)[C@@H]3O[C@@]2([C@H]2[C@]41CC(=C)[C@@](O)(C4)CC2)C=CO3,29.0,Low,13.0,2-92,Table2,0.6185223816268511,0.05008015816093117,0.23927736936567506,-0.26529126721938434,1.0908144233528865,-0.5108544722626435,0.8622166520381662,0.6760857301553959,0.5834466554760721
O=C(OCC=C)N[C@H]1[C@@H]2[C@]3(C)C(=O)O[C@@]2([C@H]2[C@]41CC(=C)[C@@](O)(C4)CC2)C=CC3=O,0.0,Low,0.0,2-93,Table2,0.7377006626738174,0.12533446614727609,0.5624068794228875,0.5700939997693153,0.6201423106525156,0.049193393625291515,0.8622166520381662,0.8641697302738143,-0.21337443968975311
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1c([N+](=O)[O-])cccc1,0.0,Low,0.0,2-94,Table2,-0.1635230914956779,-1.1859108424211018,1.269100836098766,-0.26529126721938434,1.5614865360532573,0.6092412595132265,-0.7035264706814485,-0.452418270555115,-0.800505772969835
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1ccc(N)cc1,193.0,Low,15.0,2-95,Table2,-0.5600610142956038,-1.400923150953515,0.7491781657811447,0.5700939997693153,1.0908144233528865,0.049193393625291515,-0.7035264706814485,-0.828586270791952,-0.800505772969835
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1c(N)cccc1,193.0,Low,11.0,2-96,Table2,-0.5600610142956046,-1.4009231509535145,0.7491781657811447,0.5700939997693153,1.0908144233528865,0.049193393625291515,-0.7035264706814485,-0.828586270791952,-0.800505772969835
