water_RadiusOfGyration,water_Asphericity,water_SpherocityIndex,water_NPR1,water_NPR2,water_PMI1,water_PMI2,water_ChargeMean,water_ChargeMax,water_ChargeMin,chloroform_RadiusOfGyration,chloroform_Asphericity,chloroform_SpherocityIndex,chloroform_NPR1,chloroform_NPR2,chloroform_PMI1,chloroform_PMI2,chloroform_ChargeMean,chloroform_ChargeMax,chloroform_ChargeMin,octanol_RadiusOfGyration,octanol_Asphericity,octanol_SpherocityIndex,octanol_NPR1,octanol_NPR2,octanol_PMI1,octanol_PMI2,octanol_ChargeMean,octanol_ChargeMax,octanol_ChargeMin
6.68331580366165,0.7280293783943589,0.1038436868800446,0.10147492889766746,0.9576817613671922,2685.5269042912564,25475.22430657167,4.163336342344338e-18,0.4044634137547127,-0.5076631803449968,6.666314473800939,0.7237385747252401,0.10849410423376916,0.10347101427248709,0.9594480205616104,2713.7530248043186,25350.588534625185,4.163336342344338e-18,0.4044634137547127,-0.5076631803449968,6.641333515530008,0.7225290790326293,0.11063178493701122,0.1040119813915187,0.9604345429060965,2706.1393128015216,25170.126141227953,4.163336342344338e-18,0.4044634137547127,-0.5076631803449968
4.94117234908507,0.19721850682115832,0.346048884770023,0.4464855351721645,0.7684799653495987,7217.187112487387,12418.261396235022,2.4109716106796296e-18,0.3111884202841216,-0.45893658117068564,4.933873096430645,0.2013040278482997,0.3525394605249179,0.44126625936239805,0.7808193024476455,7092.735297136241,12535.386263853405,2.4109716106796296e-18,0.3111884202841216,-0.45893658117068564,4.904275002732392,0.19688452068777065,0.3771555085390009,0.4426296207444258,0.7960654436766601,6966.452735610017,12549.268488319334,2.4109716106796296e-18,0.3111884202841216,-0.45893658117068564
5.159477752578105,0.12987587872435036,0.462742359371285,0.54446403707111,0.8081864785249968,10016.641226091953,15078.192980282594,-3.1432596316844714e-18,0.3121091952257161,-0.5067356780024598,5.140392213242077,0.11901057158504456,0.47848989342616605,0.5604040616621165,0.7939361576615376,10259.339244397714,14700.021394120726,-3.1432596316844714e-18,0.3121091952257161,-0.5067356780024598,5.242957110557154,0.15856635116087917,0.46187477588525,0.5168877849981457,0.8447723903656371,9652.807770330443,16317.843649880722,-3.1432596316844714e-18,0.3121091952257161,-0.5067356780024598
7.1913283246765625,0.17097599798146104,0.2524056364752748,0.4912703738008953,0.6903415709570163,33754.39526676104,47408.42526101759,0.0,0.330440696670516,-0.5078102858634141,7.234121971163264,0.17525274416748998,0.242161478868807,0.4886971901161549,0.6834825369835613,34129.78844462687,47706.601549420375,0.0,0.330440696670516,-0.5078102858634141,7.1843542641479265,0.17071584772927387,0.24015735603260158,0.49945589229022763,0.6740806341093666,34373.80187886158,46351.60012317869,0.0,0.330440696670516,-0.5078102858634141
8.21692228480016,0.4391323064409216,0.2070613117642632,0.2445098819351653,0.8958945780236234,25000.556711520498,91603.10016166292,4.11193712824132e-18,0.32896996371275855,-0.48122180279085486,,,,,,,,,,,,,,,,,,,,
4.158116325884034,0.36905576281717195,0.2395144220045587,0.30252316321850065,0.8650956198961417,1998.0146719597094,5914.386765224671,6.938893903907231e-19,0.2372173651571933,-0.3875084408731226,4.04267350860893,0.29877067646411554,0.27527989590051455,0.362528347454618,0.8306107798056327,2226.2165157147374,5330.050114565687,6.938893903907231e-19,0.2372173651571933,-0.3875084408731226,4.127741558829938,0.35129622785264164,0.2351263776871069,0.31440877751702245,0.847768459233041,2054.883877353085,5736.7306634085135,6.938893903907231e-19,0.2372173651571933,-0.3875084408731226
6.758436683560516,0.7191007656359525,0.10426054012610945,0.10911252193393767,0.9472250328483565,2293.453939793271,21284.937242923257,2.1080184011870058e-18,0.33018467915601774,-0.4812303897852171,6.525331793475061,0.6597326160693895,0.12179122163026972,0.1378735646218069,0.9326260746590289,2679.651468687133,19419.638120134252,2.1080184011870058e-18,0.33018467915601774,-0.4812303897852171,6.654457734170082,0.6520052323662228,0.11000016706497905,0.14097419014051457,0.9184384710007821,2868.5205268540544,20024.747272209926,2.1080184011870058e-18,0.33018467915601774,-0.4812303897852171
4.679781600583245,0.3576058474657941,0.20863184096391482,0.30010059058365357,0.8013003145865327,3229.808765398364,8631.544974094313,-2.040851148208008e-18,0.3311714085847431,-0.47787300926695164,4.698559511314887,0.36637226693134195,0.20043985129282668,0.29395000114447295,0.803287998987611,3194.216654907939,8742.774565190008,-2.040851148208008e-18,0.3311714085847431,-0.47787300926695164,4.67066356464441,0.3669705776156048,0.2139811541504182,0.2941996451963832,0.8113067403964963,3140.031165238496,8696.403334977997,-2.040851148208008e-18,0.3311714085847431,-0.4778730092669517
3.8305759960041788,0.47519803761400475,0.25646123823565153,0.23122376876087683,0.9140542650745661,1070.3314761352224,4408.570634382091,8.068481283613057e-19,0.32739938470277585,-0.4796728023655437,3.7492622131497133,0.4386238806940497,0.2772072124815241,0.25384886697699993,0.9143500166869193,1113.050837629925,4185.19274070307,8.068481283613058e-19,0.32739938470277585,-0.4796728023655437,3.7657708311597955,0.4445494515927716,0.2763279531908325,0.2501787415741999,0.9170319735768477,1106.282335470885,4236.772021969704,8.068481283613057e-19,0.32739938470277585,-0.4796728023655437
3.955631221401828,0.3335926821085775,0.32218562034022913,0.32137271700829406,0.9139998853967309,1985.0098987482147,5688.195869481894,3.9650822308041295e-18,0.2931486233910349,-0.5077369129004041,3.969135336769243,0.3413759650528347,0.3077205876019241,0.31485312786391223,0.9050306129094338,1970.5459579601572,5711.732954312104,3.96508223080413e-18,0.29314862339103487,-0.5077369129004043,3.9634290123037434,0.33902563714684525,0.3162011703275403,0.3168212663030352,0.9076555483794005,1974.145024620678,5698.508519490164,3.96508223080413e-18,0.2931486233910349,-0.5077369129004042
