SMILES,Accum,Accum_Class,Accum_SE,Compound_ID,SourceTable,MolWt,LogP,TPSA,HBD,HBA,RotB,RingCount,HeavyAtomCount,FracCSP3
O=C([O-])[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,70.0,Low,4.0,2-49,Table2,345.37100000000015,-0.3076000000000001,106.89,2.0,6.0,1.0,5.0,25.0,0.6842105263157895
O=C(NC1CC1)[C@H]1[C@@H]2[C@@](C(=O)[O-])(C)[C@@H](O)[C@H](O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,63.0,Low,2.0,2-50,Table2,402.4670000000003,-0.5934999999999988,129.92000000000002,4.0,6.0,3.0,5.0,29.0,0.7272727272727273
O=C(NCc1sccc1)[C@H]1[C@@H]2[C@@](C(=O)[O-])(C)[C@@H](O)[C@H](O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,61.0,Low,13.0,2-51,Table2,458.5560000000003,0.5057999999999994,129.92000000000002,4.0,7.0,4.0,5.0,32.0,0.5833333333333334
O=C([O-])[C@H]1c2c(C)cccc2[C@@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,56.0,Low,8.0,2-52,Table2,283.34700000000004,1.7870199999999996,60.36,1.0,3.0,1.0,4.0,21.0,0.5
O=C(NCCc1cc2OCOc2cc1)[C@H]1[C@@H]2[C@@](C(=O)[O-])(C)[C@@H](O)[C@H](O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,56.0,Low,2.0,2-53,Table2,510.5630000000004,0.2154999999999998,148.38,4.0,8.0,5.0,6.0,37.0,0.5714285714285714
O=C([O-])[C@H]1[C@@H]2[C@@](C(=O)[O-])(C)[C@@H](O)[C@H](O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,55.0,Low,3.0,2-54,Table2,362.37800000000027,-2.1221999999999976,140.95,3.0,7.0,2.0,4.0,26.0,0.6842105263157895
O=C([O-])[C@@H](NC(=O)CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21)CC(=O)[O-],45.0,Low,1.0,2-56,Table2,433.4570000000003,-1.2988999999999984,160.56999999999996,1.0,8.0,7.0,3.0,31.0,0.7272727272727273
O=C([O-])[C@@]1(C)[C@H]2[C@@](C)([C@@H]3C(C=C(C(C)C)CC3)=CC2)CCC1,34.0,Low,5.0,2-57,Table2,301.4500000000001,3.871500000000003,40.129999999999995,0.0,2.0,2.0,3.0,22.0,0.75
O=C(NCc1c(OC)cc(OC)cc1)[C@H]1[C@@H]2[C@@](C(=O)[O-])(C)[C@@H](O)[C@H](O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,17.0,Low,0.0,2-58,Table2,512.5790000000004,0.46150000000000074,148.38,4.0,8.0,6.0,5.0,37.0,0.5714285714285714
O=C(NCCCCO)[C@H]1[C@@H]2[C@@](C(=O)[O-])(C)[C@@H](O)[C@H](O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,17.0,Low,1.0,2-59,Table2,434.50900000000036,-0.983399999999998,150.15,5.0,7.0,6.0,4.0,31.0,0.7391304347826086
