smiles,name,table,page,row,Accum,Accum_SE,Accum_class,Molecular_weight,clogD7.4,RB,glob,PBF,pmi1_MW
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](N=[N+]=[N-])[C@H]2OC1)c1ccc(C)cc1,3-35,3.0,10.0,2.0,25.0,0.0,Low,325.346,1.46,4.0,0.1,0.89,3.26
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](NC(=O)C)[C@H]2OC1)c1ccc(C)cc1,3-36,3.0,10.0,3.0,111.0,35.0,Low,341.386,0.87,4.0,0.1,0.87,3.65
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1ccc(C)cc1,3-37,3.0,10.0,4.0,152.0,29.0,Low,300.333,1.16,3.0,0.11,0.9,2.91
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H]([NH3+])[C@H]2OC1)c1ccccc1,3-38,3.0,11.0,1.0,616.0,30.0,High,286.329,-1.05,3.0,0.12,0.89,2.41
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H]([NH2+]C)[C@H]2OC1)c1ccccc1,3-39,3.0,11.0,2.0,339.0,31.0,High,300.356,-0.66,4.0,0.12,0.9,2.7
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](N(C)C)[C@H]2OC1)c1ccccc1,3-40,3.0,11.0,3.0,116.0,7.0,Low,313.375,0.7,4.0,0.11,0.92,2.93
S(=O)(=O)(O[C@H]1[C@H]2OC[C@H](NC(=O)C)[C@H]2OC1)c1ccccc1,3-41,3.0,11.0,4.0,93.0,8.0,Low,327.359,0.36,4.0,0.11,0.91,3.05
O(Cc1ccccc1)[C@H]1[C@H]2OC[C@H]([NH3+])[C@H]2OC1,3-42,3.0,12.0,1.0,552.0,12.0,High,236.293,-0.73,3.0,0.19,0.95,2.25
O(Cc1ccccc1)[C@H]1[C@H]2OC[C@H](N=[N+]=[N-])[C@H]2OC1,3-43,3.0,12.0,2.0,20.0,0.0,Low,261.283,1.21,4.0,0.13,0.89,2.29
O=C(N[C@@H]1[C@H]2OC[C@@H](OCc3ccccc3)[C@H]2OC1)C,3-44,3.0,12.0,3.0,103.0,3.0,Low,277.323,0.67,4.0,0.11,0.89,2.49
O=C1[C@]2(CO)C[C@]3([C@@H]([NH3+])c4c(C)cccc4[C@H]3CC2)C1,3-45,3.0,13.0,1.0,542.0,26.0,High,272.37,0.16,1.0,0.19,0.94,2.7
O=C1[C@]2(CO)C[C@]3([C@@H]([NH2+]C)c4c(C)cccc4[C@H]3CC2)C1,3-46,3.0,13.0,2.0,179.0,8.0,Low,286.397,-0.02,2.0,0.19,0.93,3.24
