SMILES,,,Accumulation Status
O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)[C@H]3O[C@@]23[C@H]2[C@@]31CC(=O)[C@](C[NH2+]C(C)(C)C)(C3)CC2,,,DA (Doesn't Accumulate)
O(C)c1c(O)c2c(C(=O)[C@@H]3NCC[C@]42[C@@H]3C=C(OC)C(=O)C4)cc1,,,DA (Doesn't Accumulate)
O=C1[C@]2(CO)C[C@]3([C@@H]([NH2+]CCO)c4c(C)cccc4[C@H]3CC2)C1,,,DA (Doesn't Accumulate)
O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)[C@H]3O[C@@]23[C@H]2[C@@]31CC(=O)[C@](C[NH2+]C1CC1)(C3)CC2,,,DA (Doesn't Accumulate)
O=C1[C@]2(C)C[C@]3([C@@H]([NH2+]CCO)c4c(C)cccc4[C@H]3CC2)C1,,,DA (Doesn't Accumulate)
O=C(NC1CCC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@@]31CC(=O)[C@](C[NH2+]Cc1occc1)(C3)CC2,,,DA (Doesn't Accumulate)
O=C(OC)[C@H](NC[C@]12C(=O)C[C@@]3([C@@H](C(=O)OC)c4c(C)cccc4[C@H]3CC1)C2)CO,,,DA (Doesn't Accumulate)
O=C(OC)[C@H](NC[C@]12C(=O)C[C@@]3([C@@H](C(=O)OC)c4c(C)cccc4[C@H]3CC1)C2)C,,,DA (Doesn't Accumulate)
O(C)c1c2O[C@@H]3C(=O)C(OC)=C[C@@H]4[C@H]5N(C)CC[C@@]34c2c(cc1)C5,,,Accumulates
O(C)c1cc2c([C@@H](O)[C@H]3[N@@H+]4C[C@H](C=C)[C@H](C3)CC4)ccnc2cc1,,,DA (Doesn't Accumulate)
O(C)c1cc2c([C@H](O)[C@H]3[N@@H+]4C[C@H](C=C)[C@H](C3)CC4)ccnc2cc1,,,DA (Doesn't Accumulate)
O(C)c1c(O)c2c(cc1)C[C@@H]1N(C)CC[C@]32[C@@H]1C=C(OC)C(=O)C3,,,DA (Doesn't Accumulate)
O(C)C=1C(=O)C[C@@]23[C@@H]([C@@H](N(C)CC2)C=C2C3=C(O)C(=O)C=C2)C=1,,,DA (Doesn't Accumulate)
O(C)c1c2O[C@H]3[C@@]45[C@@H]([C@@H]([N@@H+](C)CC4)Cc(c25)cc1)CCOC(=O)NC3,,,DA (Doesn't Accumulate)
O(C)c1c(O)c2c(cc1)C[C@@H]1N(C)CC[C@]32[C@@H]1C=C(OC)/C(=N/O)/C3,,,DA (Doesn't Accumulate)
O(C)C=1C(=O)C[C@@]2(CC[NH+](C)C)c3c4OCOc4ccc3C(=O)C=C2C=1,,,DA (Doesn't Accumulate)
O(C)c1c(O)c2c(cc1)C=CC=1[C@]32C[C@@](O)(N(C)CC3)C(=O)C=1,,,DA (Doesn't Accumulate)
O(C)c1c(O)c2c(C(=O)[C@@H]3N(C)CC[C@]42[C@@H]3C=C(OC)/C(=N/O)/C4)cc1,,,DA (Doesn't Accumulate)
O=C(NCCC[NH+](C)C)CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21,,,DA (Doesn't Accumulate)
O(C)[C@H]1[C@@H]2N(C)CC[C@@]3([C@@H]2C=C(OC)C(=O)C3)C=2C(=O)C(OC)=CC(=O)C1=2,,,DA (Doesn't Accumulate)
O(C)c1c(O)c2[C@@]3(CC[NH+](C)C)C(=Cc4nc5c(nc4C3)cccc5)C=Cc2cc1,,,DA (Doesn't Accumulate)
O=C([O-])[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](C)(C3)CC2,,,DA (Doesn't Accumulate)
O=C([O-])[C@H]1[C@@H]2[C@@](C(=O)[O-])(C)[C@@H](O)C=CC2=C2[C@]31CC(=C)[C@@](O)(C3)CC2,,,DA (Doesn't Accumulate)
O=C([O-])CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21,,,DA (Doesn't Accumulate)
O=C([O-])CO[C@H]1[C@H]2OC[C@H](N=[N+]=[N-])[C@H]2OC1,,,DA (Doesn't Accumulate)
O=C([O-])[C@H]1c2c(C)cccc2[C@@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2,,,DA (Doesn't Accumulate)
O=C(O[C@@H]1[C@@]2(C)C(=O)O[C@]3([C@@H]2[C@H](C(=O)[O-])[C@@]24[C@H]3CC[C@@](O)(C(=C)C2)C4)C=C1)C,,,DA (Doesn't Accumulate)
O=C(NCc1occc1)[C@H]1[C@@H]2[C@@](C(=O)[O-])(C)[C@@H](O)[C@H](O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,,,DA (Doesn't Accumulate)
O=C([O-])[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,,,DA (Doesn't Accumulate)
O=C(NC1CC1)[C@H]1[C@@H]2[C@@](C(=O)[O-])(C)[C@@H](O)[C@H](O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,,,DA (Doesn't Accumulate)
O=C(NCc1sccc1)[C@H]1[C@@H]2[C@@](C(=O)[O-])(C)[C@@H](O)[C@H](O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,,,DA (Doesn't Accumulate)
O=C([O-])[C@H]1c2c(C)cccc2[C@@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,,,DA (Doesn't Accumulate)
O=C(NCCc1cc2OCOc2cc1)[C@H]1[C@@H]2[C@@](C(=O)[O-])(C)[C@@H](O)[C@H](O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,,,DA (Doesn't Accumulate)
O=C([O-])[C@H]1[C@@H]2[C@@](C(=O)[O-])(C)[C@@H](O)[C@H](O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,,,DA (Doesn't Accumulate)
O=C([O-])[C@H]([NH2+]C[C@]12C(=O)C[C@@]3([C@@H](C(=O)[O-])c4c(C)cccc4[C@H]3CC1)C2)CC(=O)[O-],,,DA (Doesn't Accumulate)
O=C([O-])[C@@H](NC(=O)CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21)CC(=O)[O-],,,DA (Doesn't Accumulate)
O=C([O-])[C@@]1(C)[C@H]2[C@@](C)([C@@H]3C(C=C(C(C)C)CC3)=CC2)CCC1,,,DA (Doesn't Accumulate)
O=C(NCc1c(OC)cc(OC)cc1)[C@H]1[C@@H]2[C@@](C(=O)[O-])(C)[C@@H](O)[C@H](O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,,,DA (Doesn't Accumulate)
O=C(NCCCCO)[C@H]1[C@@H]2[C@@](C(=O)[O-])(C)[C@@H](O)[C@H](O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,,,DA (Doesn't Accumulate)
O=C([O-])CCNC(=O)CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21,,,DA (Doesn't Accumulate)
O=C([O-])[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)C=C[C@@]2(OC3=O)[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,,,DA (Doesn't Accumulate)
O(CC=C)[C@H]1[C@H]2OC[C@@H](OCC=C)[C@H]2OC1,,,DA (Doesn't Accumulate)
O=C(OC)[C@@H](NC(=O)CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21)Cc1[nH]cnc1,,,DA (Doesn't Accumulate)
O=C(NCC#N)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,,,DA (Doesn't Accumulate)
O=C(OC)[C@@H](NC(=O)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2)CO,,,DA (Doesn't Accumulate)
Clc1c(F)ccc(CNC(=O)[C@H]2[C@@H]3[C@@]4(C)[C@@H](O)[C@H](OC4=O)C=C3[C@H]3[C@]42CC(=C)[C@@](O)(C4)CC3)c1,,,DA (Doesn't Accumulate)
O=C1[C@]2(C)[C@H]([C@H]3[C@H](C(=O)C2)[C@]2(C)C(=CC(=O)CC2)CC3)CC1,,,DA (Doesn't Accumulate)
O=C(N1CCOCC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,,,DA (Doesn't Accumulate)
O=C1[C@]2(CI)C[C@@]3(C1)[C@@H](C(OC)=O)C([C@@]4(C=C5)[C@]3([H])CC2)[C@](C)(C(O4)=O)[C@H]5O,,,DA (Doesn't Accumulate)
O=C(OC)CNC(=O)CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21,,,DA (Doesn't Accumulate)
